ko	name	description	module_id	module	pathway_id	pathway	class
K01195	uxaC	glucuronate isomerase [EC:5.3.1.12]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K14756	uxaC	glucuronate isomerase [EC:5.3.1.12]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K01195	uxaB	tagaturonate reductase [EC:1.1.1.58]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K14756	uxaB	tagaturonate reductase [EC:1.1.1.58]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K01685	uxaA	altronate hydrolase [EC:4.2.1.7]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K16849	uxaA	altronate hydrolase [EC:4.2.1.7]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K16850	uxaA	altronate hydrolase [EC:4.2.1.7]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K01685	kdgK	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K16849	kdgK	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K16850	kdgK	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K01625	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K17463	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040]	ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism
K01625	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K01625	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K01625	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K01625	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K01625	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K01625	VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K17463	VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K10047	VTC4	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K18649	VTC4	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K10047	GalDH	L-galactose dehydrogenase [EC:1.1.1.316]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K18649	GalDH	L-galactose dehydrogenase [EC:1.1.1.316]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K10047	GLDH	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K18649	GLDH	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00051]	ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism
K10047	gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18649	gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K10047	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18649	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K10047	kdgA	2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18649	kdgA	2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	cutA	glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	cutA	glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	cutA	glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	gadh	D-glyceraldehyde dehydrogenase (NADP+) [EC:1.2.1.89]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	gadh	D-glyceraldehyde dehydrogenase (NADP+) [EC:1.2.1.89]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	gadh	D-glyceraldehyde dehydrogenase (NADP+) [EC:1.2.1.89]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	aor	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	aor	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	aor	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	dgoD	galactonate dehydratase [EC:4.2.1.6]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	dgoD	galactonate dehydratase [EC:4.2.1.6]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	dgoD	galactonate dehydratase [EC:4.2.1.6]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	dgoK	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	dgoK	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	dgoK	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galK	galactokinase [EC:2.7.1.6]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galK	galactokinase [EC:2.7.1.6]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galK	galactokinase [EC:2.7.1.6]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galM, GALM	aldose 1-epimerase [EC:5.1.3.3]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galM, GALM	aldose 1-epimerase [EC:5.1.3.3]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galM, GALM	aldose 1-epimerase [EC:5.1.3.3]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galK	galactokinase [EC:2.7.1.6]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galK	galactokinase [EC:2.7.1.6]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galK	galactokinase [EC:2.7.1.6]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	gapN	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18021	gapN	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18022	gapN	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00052]	ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism
K18020	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18020	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18020	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18020	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18020	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18020	VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18021	VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
K18022	VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00053]	ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism
